emoji,urdu
❌,نہیں
✅,ہاں
☀️,سورج
🌙,چاند
⭐,ستارہ
💧,پانی
🌳,درخت
🌸,پھول
🍚,چاول
🍞,روٹی
🥗,سلاد
🍕,پیزا
🍔,برگر
🍟,فرائز
🍗,چکن
🥩,گوشت
🐟,مچھلی
🍤,جھینگا
🥚,انڈا
🧀,پنیر
🥕,گاجر
🥔,آلو
🌽,مکئی
🍅,ٹماٹر
🥒,کھیرا
🥬,سلاد پتہ
🍇,انگور
🍋,لیموں
🍎,سیب
🍌,کیلا
🍉,تربوز
🍓,اسٹرابیری
🍒,چیری
🥥,ناریل
🍍,انناس
🥭,آم
🍆,بینگن
🥑,ایوکاڈو
🌶️,مرچ
🫑,شملہ مرچ
🥜,مونگ پھلی
🍄,مشروم
🧄,لہسن
🍯,شہد
🍰,کیک
🍪,بسکٹ
🍫,چاکلیٹ
🍬,کینڈی
🍭,لالی پاپ
🍩,ڈونٹ
🍦,آئس کریم
🥤,مشروب
☕,کافی
🍵,چائے
🧃,جوس
🍺,بیئر
🍷,شراب
🏥,ہسپتال
💊,گولی
💉,انجیکشن
🩹,پٹی
🩺,سٹیتھوسکوپ
🌡️,تھرمامیٹر
🚔,پولیس
🚑,ایمبولینس
🚒,فائر بریگیڈ
🔥,آگ
🧯,آگ بجھانے والا
💀,کھوپڑی
☠️,خطرہ
⚡,بجلی
🌊,لہر
🌧️,بارش
❄️,برف
🌪️,طوفان
🏠,گھر
🚪,دروازہ
🪟,کھڑکی
🛏️,بستر
🚿,شاور
🚽,بیت الخلا
🔑,چابی
🔒,تالا
🪜,سیڑھی
👀,آنکھیں
🏧,اے ٹی ایم
💳,کارڈ
🔴,سرخ
🟠,نارنجی
🟡,پیلا
🟢,سبز
🔵,نیلا
🟣,جامنی
⚫,کالا
⚪,سفید
🟤,بھورا
🐱,بلی
🐶,کتا
🐰,خرگوش
🦊,لومڑی
🐻,ریچھ
🐯,شیر
🦁,ببر شیر
🐮,گائے
🐷,سور
🐸,مینڈک
🐵,بندر
🐔,مرغی
🐧,پینگوئن
🐤,چوزہ
🦆,بطخ
🦅,عقاب
🐺,بھیڑیا
🐗,جنگلی سور
🐴,گھوڑا
🐝,شہد کی مکھی
🐛,کیڑا
🦋,تتلی
🐌,گھونگا
🐞,لیڈی بگ
🐜,چیونٹی
🦗,جھینگر
🕷️,مکڑی
🦂,بچھو
🐢,کچھوا
🐍,سانپ
🦎,چھپکلی
🐙,آکٹوپس
🦑,سکویڈ
🦐,جھینگا
🦞,لابسٹر
🦀,کیکڑا
🐠,مچھلی
🐳,وہیل
🐬,ڈولفن
🦈,شارک
🐊,مگرمچھ
🦓,زیبرا
🐘,ہاتھی
🐪,اونٹ
🦘,کینگرو
🐑,بھیڑ
🦢,ہنس
🦝,ریکون
🦨,سکنک
🦔,کانٹے دار چوہا
🚌,بس
🚗,گاڑی
🏎️,ریسنگ کار
🚠,کیبل کار
🚅,ٹرین
🚂,بھاپ انجن
✈️,ہوائی جہاز
🛫,اڑان
🛬,اترنا
🪂,پیراشوٹ
🚁,ہیلی کاپٹر
🛰️,سیٹلائٹ
🚀,راکٹ
🚢,جہاز
🛥️,موٹر بوٹ
🚤,تیز رفتار کشتی
⛵,بادبانی کشتی
🛶,کینو
⚓,لنگر
⛽,پٹرول
🚦,ٹریفک لائٹ
📱,فون
📶,سگنل
🔌,پلگ
🛜,وائی فائی
🎣,ماہی گیری
🛠️,اوزار
📚,کتابیں
