emoji,hindi
❌,नहीं
✅,हाँ
☀️,सूरज
🌙,चाँद
⭐,तारा
💧,पानी
🌳,पेड़
🌸,फूल
🍚,चावल
🍞,रोटी
🥗,सलाद
🍕,पिज़्ज़ा
🍔,बर्गर
🍟,फ्राइज़
🍗,चिकन
🥩,मांस
🐟,मछली
🍤,झींगा
🥚,अंडा
🧀,पनीर
🥕,गाजर
🥔,आलू
🌽,मक्का
🍅,टमाटर
🥒,खीरा
🥬,सलाद पत्ता
🍇,अंगूर
🍋,नींबू
🍎,सेब
🍌,केला
🍉,तरबूज
🍓,स्ट्रॉबेरी
🍒,चेरी
🥥,नारियल
🍍,अनानास
🥭,आम
🍆,बैंगन
🥑,एवोकाडो
🌶️,मिर्च
🫑,शिमला मिर्च
🥜,मूंगफली
🍄,मशरूम
🧄,लहसुन
🍯,शहद
🍰,केक
🍪,बिस्कुट
🍫,चॉकलेट
🍬,कैंडी
🍭,लॉलीपॉप
🍩,डोनट
🍦,आइसक्रीम
🥤,पेय
☕,कॉफी
🍵,चाय
🧃,जूस
🍺,बीयर
🍷,वाइन
🏥,अस्पताल
💊,गोली
💉,इंजेक्शन
🩹,पट्टी
🩺,स्टेथोस्कोप
🌡️,थर्मामीटर
🚔,पुलिस
🚑,एम्बुलेंस
🚒,दमकल
🔥,आग
🧯,अग्निशामक
💀,खोपड़ी
☠️,खतरा
⚡,बिजली
🌊,लहर
🌧️,बारिश
❄️,बर्फ
🌪️,तूफान
🏠,घर
🚪,दरवाज़ा
🪟,खिड़की
🛏️,बिस्तर
🚿,शावर
🚽,शौचालय
🔑,चाबी
🔒,ताला
🪜,सीढ़ी
👀,आँखें
🏧,एटीएम
💳,कार्ड
🔴,लाल
🟠,नारंगी
🟡,पीला
🟢,हरा
🔵,नीला
🟣,बैंगनी
⚫,काला
⚪,सफेद
🟤,भूरा
🐱,बिल्ली
🐶,कुत्ता
🐰,खरगोश
🦊,लोमड़ी
🐻,भालू
🐯,बाघ
🦁,शेर
🐮,गाय
🐷,सूअर
🐸,मेंढक
🐵,बंदर
🐔,मुर्गी
🐧,पेंगुइन
🐤,चूज़ा
🦆,बत्तख
🦅,चील
🐺,भेड़िया
🐗,जंगली सूअर
🐴,घोड़ा
🐝,मधुमक्खी
🐛,कैटरपिलर
🦋,तितली
🐌,घोंघा
🐞,लेडीबग
🐜,चींटी
🦗,झींगुर
🕷️,मकड़ी
🦂,बिच्छू
🐢,कछुआ
🐍,साँप
🦎,छिपकली
🐙,ऑक्टोपस
🦑,स्क्विड
🦐,झींगा
🦞,लॉबस्टर
🦀,केकड़ा
🐠,मछली
🐳,व्हेल
🐬,डॉल्फिन
🦈,शार्क
🐊,मगरमच्छ
🦓,ज़ेबरा
🐘,हाथी
🐪,ऊँट
🦘,कंगारू
🐑,भेड़
🦢,हंस
🦝,रैकून
🦨,स्कंक
🦔,साही
🚌,बस
🚗,कार
🏎️,रेसिंग कार
🚠,केबल कार
🚅,ट्रेन
🚂,भाप इंजन
✈️,हवाई जहाज़
🛫,उड़ान भरना
🛬,उतरना
🪂,पैराशूट
🚁,हेलीकॉप्टर
🛰️,उपग्रह
🚀,रॉकेट
🚢,जहाज़
🛥️,मोटरबोट
🚤,स्पीडबोट
⛵,नौकायन
🛶,कैनो
⚓,लंगर
⛽,पेट्रोल
🚦,ट्रैफिक लाइट
📱,फोन
📶,सिग्नल
🔌,प्लग
🛜,वाईफाई
🎣,मछली पकड़ना
🛠️,औज़ार
📚,किताबें
