emoji,hebrew
❌,לא
✅,כן
☀️,שמש
🌙,ירח
⭐,כוכב
💧,מים
🌳,עץ
🌸,פרח
🍚,אורז
🍞,לחם
🥗,סלט
🍕,פיצה
🍔,המבורגר
🍟,צ'יפס
🍗,עוף
🥩,בשר
🐟,דג
🍤,שרימפס
🥚,ביצה
🧀,גבינה
🥕,גזר
🥔,תפוח אדמה
🌽,תירס
🍅,עגבנייה
🥒,מלפפון
🥬,חסה
🍇,ענבים
🍋,לימון
🍎,תפוח
🍌,בננה
🍉,אבטיח
🍓,תות
🍒,דובדבן
🥥,קוקוס
🍍,אננס
🥭,מנגו
🍆,חציל
🥑,אבוקדו
🌶️,פלפל חריף
🫑,פלפל
🥜,בוטן
🍄,פטרייה
🧄,שום
🍯,דבש
🍰,עוגה
🍪,עוגייה
🍫,שוקולד
🍬,ממתק
🍭,סוכרייה
🍩,סופגנייה
🍦,גלידה
🥤,משקה
☕,קפה
🍵,תה
🧃,מיץ
🍺,בירה
🍷,יין
🏥,בית חולים
💊,כדור
💉,זריקה
🩹,פלסטר
🩺,סטטוסקופ
🌡️,מדחום
🚔,משטרה
🚑,אמבולנס
🚒,כבאית
🔥,אש
🧯,מטף
💀,גולגולת
☠️,סכנה
⚡,ברק
🌊,גל
🌧️,גשם
❄️,שלג
🌪️,טורנדו
🏠,בית
🚪,דלת
🪟,חלון
🛏️,מיטה
🚿,מקלחת
🚽,שירותים
🔑,מפתח
🔒,מנעול
🪜,סולם
👀,עיניים
🏧,כספומט
💳,כרטיס
🔴,אדום
🟠,כתום
🟡,צהוב
🟢,ירוק
🔵,כחול
🟣,סגול
⚫,שחור
⚪,לבן
🟤,חום
🐱,חתול
🐶,כלב
🐰,ארנב
🦊,שועל
🐻,דוב
🐯,נמר
🦁,אריה
🐮,פרה
🐷,חזיר
🐸,צפרדע
🐵,קוף
🐔,תרנגולת
🐧,פינגווין
🐤,אפרוח
🦆,ברווז
🦅,נשר
🐺,זאב
🐗,חזיר בר
🐴,סוס
🐝,דבורה
🐛,זחל
🦋,פרפר
🐌,חילזון
🐞,חיפושית
🐜,נמלה
🦗,צרצר
🕷️,עכביש
🦂,עקרב
🐢,צב
🐍,נחש
🦎,לטאה
🐙,תמנון
🦑,דיונון
🦐,שרימפס
🦞,לובסטר
🦀,סרטן
🐠,דג
🐳,לוויתן
🐬,דולפין
🦈,כריש
🐊,תנין
🦓,זברה
🐘,פיל
🐪,גמל
🦘,קנגורו
🐑,כבש
🦢,ברבור
🦝,דביבון
🦨,בואש
🦔,קיפוד
🚌,אוטובוס
🚗,מכונית
🏎️,מכונית מירוץ
🚠,רכבל
🚅,רכבת
🚂,קטר
✈️,מטוס
🛫,המראה
🛬,נחיתה
🪂,מצנח
🚁,מסוק
🛰️,לוויין
🚀,טיל
🚢,ספינה
🛥️,סירת מנוע
🚤,סירה מהירה
⛵,מפרשית
🛶,קאנו
⚓,עוגן
⛽,דלק
🚦,רמזור
📱,טלפון
📶,אות
🔌,תקע
🛜,wifi
🎣,דיג
🛠️,כלים
📚,ספרים
