emoji,bengali
❌,না
✅,হ্যাঁ
☀️,সূর্য
🌙,চাঁদ
⭐,তারা
💧,জল
🌳,গাছ
🌸,ফুল
🍚,ভাত
🍞,রুটি
🥗,সালাদ
🍕,পিজা
🍔,বার্গার
🍟,ফ্রাই
🍗,মুরগি
🥩,মাংস
🐟,মাছ
🍤,চিংড়ি
🥚,ডিম
🧀,পনির
🥕,গাজর
🥔,আলু
🌽,ভুট্টা
🍅,টমেটো
🥒,শসা
🥬,শাক
🍇,আঙুর
🍋,লেবু
🍎,আপেল
🍌,কলা
🍉,তরমুজ
🍓,স্ট্রবেরি
🍒,চেরি
🥥,নারকেল
🍍,আনারস
🥭,আম
🍆,বেগুন
🥑,অ্যাভোকাডো
🌶️,মরিচ
🫑,মরিচ
🥜,চিনাবাদাম
🍄,মাশরুম
🧄,রসুন
🍯,মধু
🍰,কেক
🍪,কুকি
🍫,চকলেট
🍬,মিষ্টি
🍭,ললিপপ
🍩,ডোনাট
🍦,আইসক্রিম
🥤,পানীয়
☕,কফি
🍵,চা
🧃,জুস
🍺,বিয়ার
🍷,ওয়াইন
🏥,হাসপাতাল
💊,ওষুধ
💉,ইনজেকশন
🩹,ব্যান্ডেজ
🩺,স্টেথোস্কোপ
🌡️,থার্মোমিটার
🚔,পুলিশ গাড়ি
🚑,অ্যাম্বুলেন্স
🚒,ফায়ার ট্রাক
🔥,আগুন
🧯,অগ্নিনির্বাপক
💀,মাথার খুলি
☠️,বিষ
⚡,বিদ্যুৎ
🌊,ঢেউ
🌧️,বৃষ্টি
❄️,তুষার
🌪️,ঘূর্ণিঝড়
🏠,বাড়ি
🚪,দরজা
🪟,জানালা
🛏️,বিছানা
🚿,ঝরনা
🚽,টয়লেট
🔑,চাবি
🔒,তালা
🪜,মই
👀,চোখ
🏧,এটিএম
💳,কার্ড
🔴,লাল
🟠,কমলা
🟡,হলুদ
🟢,সবুজ
🔵,নীল
🟣,বেগুনি
⚫,কালো
⚪,সাদা
🟤,বাদামী
🐱,বিড়াল
🐶,কুকুর
🐰,খরগোশ
🦊,শিয়াল
🐻,ভালুক
🐯,বাঘ
🦁,সিংহ
🐮,গরু
🐷,শূকর
🐸,ব্যাঙ
🐵,বানর
🐔,মুরগি
🐧,পেঙ্গুইন
🐤,ছানা
🦆,হাঁস
🦅,ঈগল
🐺,নেকড়ে
🐗,বন্য শূকর
🐴,ঘোড়া
🐝,মৌমাছি
🐛,শুঁয়োপোকা
🦋,প্রজাপতি
🐌,শামুক
🐞,লেডিবাগ
🐜,পিঁপড়া
🦗,ঝিঁঝিঁ পোকা
🕷️,মাকড়সা
🦂,বিচ্ছু
🐢,কচ্ছপ
🐍,সাপ
🦎,টিকটিকি
🐙,অক্টোপাস
🦑,স্কুইড
🦐,চিংড়ি
🦞,লবস্টার
🦀,কাঁকড়া
🐠,মাছ
🐳,তিমি
🐬,ডলফিন
🦈,হাঙর
🐊,কুমির
🦓,জেব্রা
🐘,হাতি
🐪,উট
🦘,ক্যাঙ্গারু
🐑,ভেড়া
🦢,রাজহাঁস
🦝,র্যাকুন
🦨,স্কাঙ্ক
🦔,সজারু
🚌,বাস
🚗,গাড়ি
🏎️,রেসিং কার
🚠,কেবল কার
🚅,ট্রেন
🚂,লোকোমোটিভ
✈️,বিমান
🛫,টেকঅফ
🛬,ল্যান্ডিং
🪂,প্যারাসুট
🚁,হেলিকপ্টার
🛰️,স্যাটেলাইট
🚀,রকেট
🚢,জাহাজ
🛥️,মোটরবোট
🚤,স্পিডবোট
⛵,পালতোলা নৌকা
🛶,ক্যানো
⚓,নোঙর
⛽,জ্বালানি
🚦,ট্রাফিক লাইট
📱,ফোন
📶,সিগন্যাল
🔌,প্লাগ
🛜,ওয়াইফাই
🎣,মাছ ধরা
🛠️,সরঞ্জাম
📚,বই
