emoji,swahili
❌,hapana
✅,ndiyo
☀️,jua
🌙,mwezi
⭐,nyota
💧,maji
🌳,mti
🌸,ua
🍚,mchele
🍞,mkate
🥗,saladi
🍕,pizza
🍔,hamburger
🍟,chipsi
🍗,kuku
🥩,nyama
🐟,samaki
🍤,kamba
🥚,yai
🧀,jibini
🥕,karoti
🥔,kiazi
🌽,mahindi
🍅,nyanya
🥒,tango
🥬,saladi
🍇,zabibu
🍋,limau
🍎,tofaa
🍌,ndizi
🍉,tikiti maji
🍓,strawberry
🍒,cherry
🥥,nazi
🍍,nanasi
🥭,embe
🍆,biringanya
🥑,parachichi
🌶️,pilipili
🫑,pilipili hoho
🥜,karanga
🍄,uyoga
🧄,kitunguu saumu
🍯,asali
🍰,keki
🍪,biskuti
🍫,chokoleti
🍬,pipi
🍭,lolipop
🍩,donut
🍦,aiskrimu
🥤,kinywaji
☕,kahawa
🍵,chai
🧃,juisi
🍺,bia
🍷,mvinyo
🏥,hospitali
💊,kidonge
💉,sindano
🩹,plasta
🩺,stethoscope
🌡️,kipimajoto
🚔,polisi
🚑,ambulensi
🚒,gari la zimamoto
🔥,moto
🧯,kizimamoto
💀,fuvu
☠️,hatari
⚡,umeme
🌊,wimbi
🌧️,mvua
❄️,theluji
🌪️,kimbunga
🏠,nyumba
🚪,mlango
🪟,dirisha
🛏️,kitanda
🚿,shower
🚽,choo
🔑,ufunguo
🔒,kufuli
🪜,ngazi
👀,macho
🏧,ATM
💳,kadi
🔴,nyekundu
🟠,machungwa
🟡,njano
🟢,kijani
🔵,bluu
🟣,zambarau
⚫,nyeusi
⚪,nyeupe
🟤,kahawia
🐱,paka
🐶,mbwa
🐰,sungura
🦊,mbweha
🐻,dubu
🐯,chui
🦁,simba
🐮,ng'ombe
🐷,nguruwe
🐸,chura
🐵,tumbili
🐔,kuku
🐧,penguin
🐤,kifaranga
🦆,bata
🦅,tai
🐺,mbwa mwitu
🐗,nguruwe mwitu
🐴,farasi
🐝,nyuki
🐛,mdudu
🦋,kipepeo
🐌,konokono
🐞,dudu
🐜,mchwa
🦗,parare
🕷️,buibui
🦂,nge
🐢,kobe
🐍,nyoka
🦎,mjusi
🐙,pweza
🦑,ngisi
🦐,kamba
🦞,kamba mkubwa
🦀,kaa
🐠,samaki
🐳,nyangumi
🐬,pomboo
🦈,papa
🐊,mamba
🦓,punda milia
🐘,tembo
🐪,ngamia
🦘,kangaroo
🐑,kondoo
🦢,bata bukini
🦝,raccoon
🦨,kicheche
🦔,kalunguyeye
🚌,basi
🚗,gari
🏎️,gari la mbio
🚠,cable car
🚅,treni
🚂,gari la moshi
✈️,ndege
🛫,kuruka
🛬,kutua
🪂,parachute
🚁,helikopta
🛰️,satellite
🚀,roketi
🚢,meli
🛥️,mashua ya moto
🚤,mashua ya mbio
⛵,mashua ya tanga
🛶,mtumbwi
⚓,nanga
⛽,petroli
🚦,taa za barabara
📱,simu
📶,ishara
🔌,plagi
🛜,wifi
🎣,uvuvi
🛠️,zana
📚,vitabu
