emoji,ukranian
❌,ні
✅,так
☀️,сонце
🌙,місяць
⭐,зірка
💧,вода
🌳,дерево
🌸,квітка
🍚,рис
🍞,хліб
🥗,салат
🍕,піца
🍔,гамбургер
🍟,картопля фрі
🍗,курка
🥩,м'ясо
🐟,риба
🍤,креветка
🥚,яйце
🧀,сир
🥕,морква
🥔,картопля
🌽,кукурудза
🍅,помідор
🥒,огірок
🥬,салат
🍇,виноград
🍋,лимон
🍎,яблуко
🍌,банан
🍉,кавун
🍓,полуниця
🍒,вишня
🥥,кокос
🍍,ананас
🥭,манго
🍆,баклажан
🥑,авокадо
🌶️,перець чилі
🫑,перець
🥜,арахіс
🍄,гриб
🧄,часник
🍯,мед
🍰,торт
🍪,печиво
🍫,шоколад
🍬,цукерка
🍭,льодяник
🍩,пончик
🍦,морозиво
🥤,напій
☕,кава
🍵,чай
🧃,сік
🍺,пиво
🍷,вино
🏥,лікарня
💊,таблетка
💉,укол
🩹,пластир
🩺,стетоскоп
🌡️,термометр
🚔,поліція
🚑,швидка допомога
🚒,пожежна машина
🔥,вогонь
🧯,вогнегасник
💀,череп
☠️,небезпека
⚡,блискавка
🌊,хвиля
🌧️,дощ
❄️,сніг
🌪️,торнадо
🏠,будинок
🚪,двері
🪟,вікно
🛏️,ліжко
🚿,душ
🚽,туалет
🔑,ключ
🔒,замок
🪜,драбина
👀,очі
🏧,банкомат
💳,картка
🔴,червоний
🟠,помаранчевий
🟡,жовтий
🟢,зелений
🔵,синій
🟣,фіолетовий
⚫,чорний
⚪,білий
🟤,коричневий
🐱,кіт
🐶,собака
🐰,кролик
🦊,лисиця
🐻,ведмідь
🐯,тигр
🦁,лев
🐮,корова
🐷,свиня
🐸,жаба
🐵,мавпа
🐔,курка
🐧,пінгвін
🐤,курча
🦆,качка
🦅,орел
🐺,вовк
🐗,кабан
🐴,кінь
🐝,бджола
🐛,гусениця
🦋,метелик
🐌,равлик
🐞,сонечко
🐜,мураха
🦗,цвіркун
🕷️,павук
🦂,скорпіон
🐢,черепаха
🐍,змія
🦎,ящірка
🐙,восьминіг
🦑,кальмар
🦐,креветка
🦞,омар
🦀,краб
🐠,риба
🐳,кит
🐬,дельфін
🦈,акула
🐊,крокодил
🦓,зебра
🐘,слон
🐪,верблюд
🦘,кенгуру
🐑,вівця
🦢,лебідь
🦝,єнот
🦨,скунс
🦔,їжак
🚌,автобус
🚗,машина
🏎️,гоночна машина
🚠,канатна дорога
🚅,поїзд
🚂,паровоз
✈️,літак
🛫,зліт
🛬,посадка
🪂,парашут
🚁,гелікоптер
🛰️,супутник
🚀,ракета
🚢,корабель
🛥️,моторний човен
🚤,катер
⛵,вітрильник
🛶,каное
⚓,якір
⛽,бензин
🚦,світлофор
📱,телефон
📶,сигнал
🔌,розетка
🛜,wifi
🎣,риболовля
🛠️,інструменти
📚,книги
