emoji,turkish
❌,hayır
✅,evet
☀️,güneş
🌙,ay
⭐,yıldız
💧,su
🌳,ağaç
🌸,çiçek
🍚,pirinç
🍞,ekmek
🥗,salata
🍕,pizza
🍔,hamburger
🍟,patates kızartması
🍗,tavuk
🥩,et
🐟,balık
🍤,karides
🥚,yumurta
🧀,peynir
🥕,havuç
🥔,patates
🌽,mısır
🍅,domates
🥒,salatalık
🥬,marul
🍇,üzüm
🍋,limon
🍎,elma
🍌,muz
🍉,karpuz
🍓,çilek
🍒,kiraz
🥥,hindistan cevizi
🍍,ananas
🥭,mango
🍆,patlıcan
🥑,avokado
🌶️,acı biber
🫑,biber
🥜,fıstık
🍄,mantar
🧄,sarımsak
🍯,bal
🍰,pasta
🍪,kurabiye
🍫,çikolata
🍬,şeker
🍭,lolipop
🍩,donut
🍦,dondurma
🥤,içecek
☕,kahve
🍵,çay
🧃,meyve suyu
🍺,bira
🍷,şarap
🏥,hastane
💊,hap
💉,iğne
🩹,yara bandı
🩺,stetoskop
🌡️,termometre
🚔,polis
🚑,ambulans
🚒,itfaiye
🔥,ateş
🧯,yangın söndürücü
💀,kafatası
☠️,tehlike
⚡,şimşek
🌊,dalga
🌧️,yağmur
❄️,kar
🌪️,tornado
🏠,ev
🚪,kapı
🪟,pencere
🛏️,yatak
🚿,duş
🚽,tuvalet
🔑,anahtar
🔒,kilit
🪜,merdiven
👀,gözler
🏧,ATM
💳,kart
🔴,kırmızı
🟠,turuncu
🟡,sarı
🟢,yeşil
🔵,mavi
🟣,mor
⚫,siyah
⚪,beyaz
🟤,kahverengi
🐱,kedi
🐶,köpek
🐰,tavşan
🦊,tilki
🐻,ayı
🐯,kaplan
🦁,aslan
🐮,inek
🐷,domuz
🐸,kurbağa
🐵,maymun
🐔,tavuk
🐧,penguen
🐤,civciv
🦆,ördek
🦅,kartal
🐺,kurt
🐗,yaban domuzu
🐴,at
🐝,arı
🐛,tırtıl
🦋,kelebek
🐌,salyangoz
🐞,uğur böceği
🐜,karınca
🦗,cırcır böceği
🕷️,örümcek
🦂,akrep
🐢,kaplumbağa
🐍,yılan
🦎,kertenkele
🐙,ahtapot
🦑,kalamar
🦐,karides
🦞,ıstakoz
🦀,yengeç
🐠,balık
🐳,balina
🐬,yunus
🦈,köpekbalığı
🐊,timsah
🦓,zebra
🐘,fil
🐪,deve
🦘,kanguru
🐑,koyun
🦢,kuğu
🦝,rakun
🦨,kokarca
🦔,kirpi
🚌,otobüs
🚗,araba
🏎️,yarış arabası
🚠,teleferik
🚅,tren
🚂,buharlı lokomotif
✈️,uçak
🛫,kalkış
🛬,iniş
🪂,paraşüt
🚁,helikopter
🛰️,uydu
🚀,roket
🚢,gemi
🛥️,motorbot
🚤,sürat teknesi
⛵,yelkenli
🛶,kano
⚓,çapa
⛽,benzin
🚦,trafik ışığı
📱,telefon
📶,sinyal
🔌,fiş
🛜,wifi
🎣,balık tutma
🛠️,aletler
📚,kitaplar
