emoji,arabic
❌,لا
✅,نعم
☀️,شمس
🌙,قمر
⭐,نجمة
💧,ماء
🌳,شجرة
🌸,زهرة
🍚,أرز
🍞,خبز
🥗,سلطة
🍕,بيتزا
🍔,برغر
🍟,بطاطس مقلية
🍗,دجاج
🥩,لحم
🐟,سمك
🍤,جمبري
🥚,بيضة
🧀,جبن
🥕,جزر
🥔,بطاطس
🌽,ذرة
🍅,طماطم
🥒,خيار
🥬,خس
🍇,عنب
🍋,ليمون
🍎,تفاحة
🍌,موز
🍉,بطيخ
🍓,فراولة
🍒,كرز
🥥,جوز الهند
🍍,أناناس
🥭,مانجو
🍆,باذنجان
🥑,أفوكادو
🌶️,فلفل حار
🫑,فلفل
🥜,فول سوداني
🍄,فطر
🧄,ثوم
🍯,عسل
🍰,كعكة
🍪,بسكويت
🍫,شوكولاتة
🍬,حلوى
🍭,مصاصة
🍩,دونات
🍦,آيس كريم
🥤,مشروب
☕,قهوة
🍵,شاي
🧃,عصير
🍺,بيرة
🍷,نبيذ
🏥,مستشفى
💊,حبة دواء
💉,حقنة
🩹,ضمادة
🩺,سماعة طبية
🌡️,ميزان حرارة
🚔,شرطة
🚑,إسعاف
🚒,إطفاء
🔥,نار
🧯,طفاية حريق
💀,جمجمة
☠️,سم
⚡,برق
🌊,موجة
🌧️,مطر
❄️,ثلج
🌪️,إعصار
🏠,منزل
🚪,باب
🪟,نافذة
🛏️,سرير
🚿,دش
🚽,مرحاض
🔑,مفتاح
🔒,قفل
🪜,سلم
👀,عيون
🏧,صراف آلي
💳,بطاقة
🔴,أحمر
🟠,برتقالي
🟡,أصفر
🟢,أخضر
🔵,أزرق
🟣,بنفسجي
⚫,أسود
⚪,أبيض
🟤,بني
🐱,قطة
🐶,كلب
🐰,أرنب
🦊,ثعلب
🐻,دب
🐯,نمر
🦁,أسد
🐮,بقرة
🐷,خنزير
🐸,ضفدع
🐵,قرد
🐔,دجاجة
🐧,بطريق
🐤,كتكوت
🦆,بطة
🦅,نسر
🐺,ذئب
🐗,خنزير بري
🐴,حصان
🐝,نحلة
🐛,يرقة
🦋,فراشة
🐌,حلزون
🐞,دعسوقة
🐜,نملة
🦗,صرصور
🕷️,عنكبوت
🦂,عقرب
🐢,سلحفاة
🐍,ثعبان
🦎,سحلية
🐙,أخطبوط
🦑,حبار
🦐,جمبري
🦞,كركند
🦀,سرطان البحر
🐠,سمكة
🐳,حوت
🐬,دولفين
🦈,قرش
🐊,تمساح
🦓,حمار وحشي
🐘,فيل
🐪,جمل
🦘,كنغر
🐑,خروف
🦢,بجعة
🦝,راكون
🦨,ظربان
🦔,قنفذ
🚌,حافلة
🚗,سيارة
🏎️,سيارة سباق
🚠,تلفريك
🚅,قطار سريع
🚂,قطار
✈️,طائرة
🛫,إقلاع
🛬,هبوط
🪂,مظلة
🚁,هليكوبتر
🛰️,قمر صناعي
🚀,صاروخ
🚢,سفينة
🛥️,قارب
🚤,قارب سريع
⛵,قارب شراعي
🛶,زورق
⚓,مرساة
⛽,بنزين
🚦,إشارة مرور
📱,هاتف
📶,إشارة
🔌,قابس
🛜,واي فاي
🎣,صيد السمك
🛠️,أدوات
📚,كتب
