emoji,portugese
❌,não
✅,sim
☀️,sol
🌙,lua
⭐,estrela
💧,água
🌳,árvore
🌸,flor
🍚,arroz
🍞,pão
🥗,salada
🍕,pizza
🍔,hambúrguer
🍟,batatas fritas
🍗,frango
🥩,carne
🐟,peixe
🍤,camarão
🥚,ovo
🧀,queijo
🥕,cenoura
🥔,batata
🌽,milho
🍅,tomate
🥒,pepino
🥬,alface
🍇,uvas
🍋,limão
🍎,maçã
🍌,banana
🍉,melancia
🍓,morango
🍒,cereja
🥥,coco
🍍,abacaxi
🥭,manga
🍆,berinjela
🥑,abacate
🌶️,pimenta
🫑,pimentão
🥜,amendoim
🍄,cogumelo
🧄,alho
🍯,mel
🍰,bolo
🍪,biscoito
🍫,chocolate
🍬,doce
🍭,pirulito
🍩,rosquinha
🍦,sorvete
🥤,bebida
☕,café
🍵,chá
🧃,suco
🍺,cerveja
🍷,vinho
🏥,hospital
💊,pílula
💉,injeção
🩹,curativo
🩺,estetoscópio
🌡️,termômetro
🚔,polícia
🚑,ambulância
🚒,bombeiros
🔥,fogo
🧯,extintor
💀,caveira
☠️,perigo
⚡,relâmpago
🌊,onda
🌧️,chuva
❄️,neve
🌪️,tornado
🏠,casa
🚪,porta
🪟,janela
🛏️,cama
🚿,chuveiro
🚽,banheiro
🔑,chave
🔒,cadeado
🪜,escada
👀,olhos
🏧,caixa eletrônico
💳,cartão
🔴,vermelho
🟠,laranja
🟡,amarelo
🟢,verde
🔵,azul
🟣,roxo
⚫,preto
⚪,branco
🟤,marrom
🐱,gato
🐶,cachorro
🐰,coelho
🦊,raposa
🐻,urso
🐯,tigre
🦁,leão
🐮,vaca
🐷,porco
🐸,sapo
🐵,macaco
🐔,galinha
🐧,pinguim
🐤,pintinho
🦆,pato
🦅,águia
🐺,lobo
🐗,javali
🐴,cavalo
🐝,abelha
🐛,lagarta
🦋,borboleta
🐌,caracol
🐞,joaninha
🐜,formiga
🦗,grilo
🕷️,aranha
🦂,escorpião
🐢,tartaruga
🐍,cobra
🦎,lagarto
🐙,polvo
🦑,lula
🦐,camarão
🦞,lagosta
🦀,caranguejo
🐠,peixe
🐳,baleia
🐬,golfinho
🦈,tubarão
🐊,crocodilo
🦓,zebra
🐘,elefante
🐪,camelo
🦘,canguru
🐑,ovelha
🦢,cisne
🦝,guaxinim
🦨,gambá
🦔,ouriço
🚌,ônibus
🚗,carro
🏎️,carro de corrida
🚠,teleférico
🚅,trem
🚂,locomotiva
✈️,avião
🛫,decolagem
🛬,aterrissagem
🪂,paraquedas
🚁,helicóptero
🛰️,satélite
🚀,foguete
🚢,navio
🛥️,lancha
🚤,barco rápido
⛵,veleiro
🛶,canoa
⚓,âncora
⛽,gasolina
🚦,semáforo
📱,telefone
📶,sinal
🔌,tomada
🛜,wifi
🎣,pesca
🛠️,ferramentas
📚,livros
