emoji,spanish
❌,no
✅,sí
☀️,sol
🌙,luna
⭐,estrella
💧,agua
🌳,árbol
🌸,flor
🍚,arroz
🍞,pan
🥗,ensalada
🍕,pizza
🍔,hamburguesa
🍟,papas fritas
🍗,pollo
🥩,carne
🐟,pescado
🍤,camarón
🥚,huevo
🧀,queso
🥕,zanahoria
🥔,papa
🌽,maíz
🍅,tomate
🥒,pepino
🥬,lechuga
🍇,uvas
🍋,limón
🍎,manzana
🍌,plátano
🍉,sandía
🍓,fresa
🍒,cereza
🥥,coco
🍍,piña
🥭,mango
🍆,berenjena
🥑,aguacate
🌶️,chile
🫑,pimiento
🥜,maní
🍄,hongo
🧄,ajo
🍯,miel
🍰,pastel
🍪,galleta
🍫,chocolate
🍬,caramelo
🍭,paleta
🍩,dona
🍦,helado
🥤,bebida
☕,café
🍵,té
🧃,jugo
🍺,cerveza
🍷,vino
🏥,hospital
💊,píldora
💉,inyección
🩹,curita
🩺,estetoscopio
🌡️,termómetro
🚔,policía
🚑,ambulancia
🚒,bomberos
🔥,fuego
🧯,extintor
💀,calavera
☠️,veneno
⚡,rayo
🌊,ola
🌧️,lluvia
❄️,nieve
🌪️,tornado
🏠,casa
🚪,puerta
🪟,ventana
🛏️,cama
🚿,ducha
🚽,inodoro
🔑,llave
🔒,candado
🪜,escalera
👀,ojos
🏧,cajero
💳,tarjeta
🔴,rojo
🟠,naranja
🟡,amarillo
🟢,verde
🔵,azul
🟣,morado
⚫,negro
⚪,blanco
🟤,marrón
🐱,gato
🐶,perro
🐰,conejo
🦊,zorro
🐻,oso
🐯,tigre
🦁,león
🐮,vaca
🐷,cerdo
🐸,rana
🐵,mono
🐔,pollo
🐧,pingüino
🐤,pollito
🦆,pato
🦅,águila
🐺,lobo
🐗,jabalí
🐴,caballo
🐝,abeja
🐛,oruga
🦋,mariposa
🐌,caracol
🐞,mariquita
🐜,hormiga
🦗,grillo
🕷️,araña
🦂,escorpión
🐢,tortuga
🐍,serpiente
🦎,lagarto
🐙,pulpo
🦑,calamar
🦐,camarón
🦞,langosta
🦀,cangrejo
🐠,pez
🐳,ballena
🐬,delfín
🦈,tiburón
🐊,cocodrilo
🦓,cebra
🐘,elefante
🐪,camello
🦘,canguro
🐑,oveja
🦢,cisne
🦝,mapache
🦨,mofeta
🦔,erizo
🚌,autobús
🚗,coche
🏎️,coche de carreras
🚠,teleférico
🚅,tren bala
🚂,tren
✈️,avión
🛫,despegue
🛬,aterrizaje
🪂,paracaídas
🚁,helicóptero
🛰️,satélite
🚀,cohete
🚢,barco
🛥️,lancha
🚤,lancha rápida
⛵,velero
🛶,canoa
⚓,ancla
⛽,gasolina
🚦,semáforo
📱,teléfono
📶,señal
🔌,enchufe
🛜,wifi
🎣,pesca
🛠️,herramientas
📚,libros
