emoji,burmese
❌,မဟုတ်ဘူး
✅,ဟုတ်ကဲ့
☀️,နေ
🌙,လ
⭐,ကြယ်
💧,ရေ
🌳,သစ်ပင်
🌸,ပန်း
🍚,ထမင်း
🍞,ပေါင်မုန့်
🥗,အသုပ်
🍕,ပီဇာ
🍔,ဘာဂါ
🍟,အာလူး
🍗,ကြက်သား
🥩,အသား
🐟,ငါး
🍤,ပုစွန်
🥚,ကြက်ဥ
🧀,ဒိန်ခဲ
🥕,မုန်လာဥနီ
🥔,အာလူး
🌽,ပြောင်းဖူး
🍅,ခရမ်းချဉ်သီး
🥒,သခွားသီး
🥬,ဟင်းသီးဟင်းရွက်
🍇,စပျစ်သီး
🍋,သံပုရာသီး
🍎,ပန်းသီး
🍌,ငှက်ပျောသီး
🍉,ဖရဲသီး
🍓,စတော်ဘယ်ရီ
🍒,ချယ်ရီ
🥥,အုန်းသီး
🍍,နာနတ်သီး
🥭,သရက်သီး
🍆,ခရမ်းသီး
🥑,ထောပတ်သီး
🌶️,ငရုတ်သီး
🫑,ငရုတ်ချောင်း
🥜,မြေပဲ
🍄,မှို
🧄,ကြက်သွန်ဖြူ
🍯,ပျားရည်
🍰,ကိတ်မုန့်
🍪,ကွတ်ကီး
🍫,ချောကလက်
🍬,သကြားလုံး
🍭,လော်လီပေါ့
🍩,ဒိုးနပ်
🍦,ရေခဲမုန့်
🥤,အချိုရည်
☕,ကော်ဖီ
🍵,လက်ဖက်ရည်
🧃,သစ်သီးဖျော်ရည်
🍺,ဘီယာ
🍷,ဝိုင်
🏥,ဆေးရုံ
💊,ဆေး
💉,ဆေးထိုး
🩹,ပလပ်စတာ
🩺,နှလုံးစစ်ကိရိယာ
🌡️,အပူချိန်တိုင်းကိရိယာ
🚔,ရဲကား
🚑,လူနာတင်ကား
🚒,မီးသတ်ကား
🔥,မီး
🧯,မီးသတ်ဘူး
💀,ဦးခေါင်းခွံ
☠️,အဆိပ်
⚡,လျှပ်စီး
🌊,လှိုင်း
🌧️,မိုး
❄️,နှင်း
🌪️,လေဆင်နှာမောင်း
🏠,အိမ်
🚪,တံခါး
🪟,ပြတင်းပေါက်
🛏️,အိပ်ရာ
🚿,ရေချိုး
🚽,အိမ်သာ
🔑,သော့
🔒,သော့ခတ်
🪜,လှေကား
👀,မျက်လုံး
🏧,ငွေထုတ်စက်
💳,ကတ်
🔴,အနီ
🟠,လိမ္မော်ရောင်
🟡,အဝါ
🟢,အစိမ်း
🔵,အပြာ
🟣,ခရမ်းရောင်
⚫,အနက်
⚪,အဖြူ
🟤,အညို
🐱,ကြောင်
🐶,ခွေး
🐰,ယုန်
🦊,မြေခွေး
🐻,ဝက်ဝံ
🐯,ကျား
🦁,ခြင်္သေ့
🐮,နွား
🐷,ဝက်
🐸,ဖား
🐵,မျောက်
🐔,ကြက်
🐧,ပင်ဂွင်
🐤,ကြက်ကလေး
🦆,ဘဲ
🦅,လင်းယုန်
🐺,ဝံပုလွေ
🐗,တောဝက်
🐴,မြင်း
🐝,ပျား
🐛,ကောင်ကောင်
🦋,လိပ်ပြာ
🐌,ခရု
🐞,ပိုးကောင်
🐜,ပုရွက်ဆိတ်
🦗,ကျိုင်းကောင်
🕷️,ပင့်ကူ
🦂,ကင်းမြီးကောက်
🐢,လိပ်
🐍,မြွေ
🦎,အိမ်မြှောင်
🐙,ရေဘဝဲ
🦑,ပြည်ကြီးငါး
🦐,ပုစွန်
🦞,ကျောက်ပုစွန်
🦀,ဂဏန်း
🐠,ငါး
🐳,ဝေလငါး
🐬,လင်းပိုင်
🦈,ငါးမန်း
🐊,မိကျောင်း
🦓,မြင်းကျား
🐘,ဆင်
🐪,ကုလားအုတ်
🦘,သားပိုက်
🐑,သိုး
🦢,ငန်း
🦝,ရက်ကွန်း
🦨,စကန့်
🦔,ဖြူးဝံ
🚌,ဘတ်စ်ကား
🚗,ကား
🏎️,ပြိုင်ကား
🚠,ကေဘယ်ကား
🚅,ရထား
🚂,မီးခိုးရထား
✈️,လေယာဉ်
🛫,တက်ခြင်း
🛬,ဆင်းခြင်း
🪂,လေထီး
🚁,ရဟတ်ယာဉ်
🛰️,ဂြိုလ်တု
🚀,ဒုံးပျံ
🚢,သင်္ဘော
🛥️,မော်တော်ဘုတ်
🚤,အမြန်လှေ
⛵,ရွက်လှေ
🛶,ကနူး
⚓,ကျောက်ဆူး
⛽,ဆီ
🚦,မီးပွိုင့်
📱,ဖုန်း
📶,အချက်ပြ
🔌,ပလပ်
🛜,ဝိုင်ဖိုင်
🎣,ငါးမျှား
🛠️,ကိရိယာ
📚,စာအုပ်
