Question,Answer A,Answer B,Answer C,Answer D,Correct,Explanation
"What will this code print?\nx = 5\ny = x\nx = 10\nprint(y)",5,10,15,Error,A,"y stores the value 5 when assigned. Changing x later doesn't affect y because integers are copied by value."
"What is the final value of count?\ncount = 0\ncount = count + 1\ncount = count + 1",0,1,2,3,C,"count starts at 0 then increases by 1 twice (0+1=1 then 1+1=2)."
"What does this print?\nname = ""Alice""\nage = 25\nprint(name)",Alice,25,Alice25,Error,A,"print(name) outputs the value stored in name which is the text Alice."
"Which statement has an error?\nx = 10\ny = 20\nz = x + y\nprint(z)",x = 10,y = 20,z = x + y,No error,D,"All lines are valid: variables are declared and used correctly."
"What will print?\nx = 5\nx = x * 2\nprint(x)",5,10,25,Error,B,"x starts as 5 then gets reassigned to 5*2 which equals 10."
"What does this output?\nis_ready = True\nif is_ready:\n  print(""Go"")\nelse:\n  print(""Wait"")",Go,Wait,True,Nothing,A,"is_ready is True so the if-block executes printing Go."
"What prints here?\nscore = 85\nif score >= 90:\n  print(""A"")\nelse:\n  print(""B"")",A,B,85,Nothing,B,"85 is not >= 90 so the else-block runs printing B."
"What is the output?\nx = 10\nif x == 10:\n  print(""Equal"")\nif x = 10:\n  print(""Assigned"")",Equal,Assigned,Both print,Syntax error,D,"The second if statement uses = (assignment) instead of == (comparison) which is a syntax error."
"What does this print?\ntemp = 75\nif temp > 80:\n  print(""Hot"")\nelif temp > 60:\n  print(""Warm"")\nelse:\n  print(""Cold"")",Hot,Warm,Cold,Nothing,B,"75 is not > 80 but is > 60 so the elif-block executes printing Warm."
"What will output?\nx = 0\nif x:\n  print(""True"")\nelse:\n  print(""False"")",True,False,0,Error,B,"0 is falsy in most languages so the else-block runs printing False."
"How many times does this loop run?\nfor i in range(2):\n  print(i)",0,1,2,Infinite,C,"range(2) generates 0 1 which is TWO numbers so the loop runs TWO times... NOT 3"
"What is the last value printed?\nfor i in range(1, 5):\n  print(i)",1,3,4,5,C,"range(1, 5) generates 1 2 3 4 so the last printed value is 4."
"What does this print?\ncount = 0\nfor i in range(5):\n  count = count + 1\nprint(count)",0,4,5,6,C,"The loop runs 5 times (0 through 4) adding 1 each time so count becomes 5."
"How many times does ""Hello"" print?\nfor i in range(2):\n  for j in range(3):\n    print(""Hello"")",2,3,5,6,D,"Outer loop runs 2 times inner loop runs 3 times: 2*3=6 total prints."
"What prints?\nnumbers = [10, 20, 30]\nfor num in numbers:\n  print(num)\nprint(num)",10 20 30 30,10 20 30 10,10 20 30,Error,A,"Loop prints each number then after loop num still holds last value 30."
"What does this output?\ni = 0\nwhile i < 3:\n  print(i)\n  i = i + 1",0 1 2,1 2 3,0 1 2 3,Infinite loop,A,"Loop runs while i<3: prints 0 then 1 then 2 then stops when i becomes 3."
"What happens here?\ni = 5\nwhile i > 0:\n  print(i)",Prints 5 once,Prints 5 4 3 2 1,Infinite loop,Error,C,"i never decreases so i>0 stays true forever creating an infinite loop."
"What is printed?\ncount = 0\nwhile count < 2:\n  print(count)\n  count = count + 1\nprint(count)",0 1,0 1 2,1 2,0 1 3,B,"Loop prints 0 then 1 stops when count=2 then prints final count value 2."
