emoji,vietnamese
❌,không
✅,có
☀️,mặt trời
🌙,mặt trăng
⭐,ngôi sao
💧,nước
🌳,cây
🌸,hoa
🍚,cơm
🍞,bánh mì
🥗,salad
🍕,pizza
🍔,hamburger
🍟,khoai tây chiên
🍗,gà
🥩,thịt
🐟,cá
🍤,tôm
🥚,trứng
🧀,phô mai
🥕,cà rốt
🥔,khoai tây
🌽,ngô
🍅,cà chua
🥒,dưa chuột
🥬,rau diếp
🍇,nho
🍋,chanh
🍎,táo
🍌,chuối
🍉,dưa hấu
🍓,dâu tây
🍒,cherry
🥥,dừa
🍍,dứa
🥭,xoài
🍆,cà tím
🥑,bơ
🌶️,ớt
🫑,ớt chuông
🥜,đậu phộng
🍄,nấm
🧄,tỏi
🍯,mật ong
🍰,bánh ngọt
🍪,bánh quy
🍫,sô cô la
🍬,kẹo
🍭,kẹo mút
🍩,bánh donut
🍦,kem
🥤,đồ uống
☕,cà phê
🍵,trà
🧃,nước ép
🍺,bia
🍷,rượu vang
🏥,bệnh viện
💊,thuốc viên
💉,tiêm
🩹,băng dán
🩺,ống nghe
🌡️,nhiệt kế
🚔,cảnh sát
🚑,xe cứu thương
🚒,xe cứu hỏa
🔥,lửa
🧯,bình cứu hỏa
💀,đầu lâu
☠️,nguy hiểm
⚡,sét
🌊,sóng
🌧️,mưa
❄️,tuyết
🌪️,lốc xoáy
🏠,nhà
🚪,cửa
🪟,cửa sổ
🛏️,giường
🚿,vòi sen
🚽,nhà vệ sinh
🔑,chìa khóa
🔒,ổ khóa
🪜,thang
👀,mắt
🏧,máy ATM
💳,thẻ
🔴,đỏ
🟠,cam
🟡,vàng
🟢,xanh lá
🔵,xanh dương
🟣,tím
⚫,đen
⚪,trắng
🟤,nâu
🐱,mèo
🐶,chó
🐰,thỏ
🦊,cáo
🐻,gấu
🐯,hổ
🦁,sư tử
🐮,bò
🐷,lợn
🐸,ếch
🐵,khỉ
🐔,gà
🐧,chim cánh cụt
🐤,gà con
🦆,vịt
🦅,đại bàng
🐺,sói
🐗,lợn rừng
🐴,ngựa
🐝,ong
🐛,sâu
🦋,bướm
🐌,ốc sên
🐞,bọ rùa
🐜,kiến
🦗,dế
🕷️,nhện
🦂,bọ cạp
🐢,rùa
🐍,rắn
🦎,thằn lằn
🐙,bạch tuộc
🦑,mực
🦐,tôm
🦞,tôm hùm
🦀,cua
🐠,cá
🐳,cá voi
🐬,cá heo
🦈,cá mập
🐊,cá sấu
🦓,ngựa vằn
🐘,voi
🐪,lạc đà
🦘,kangaroo
🐑,cừu
🦢,thiên nga
🦝,gấu trúc
🦨,chồn hôi
🦔,nhím
🚌,xe buýt
🚗,xe hơi
🏎️,xe đua
🚠,cáp treo
🚅,tàu hỏa
🚂,đầu máy
✈️,máy bay
🛫,cất cánh
🛬,hạ cánh
🪂,dù
🚁,trực thăng
🛰️,vệ tinh
🚀,tên lửa
🚢,tàu thủy
🛥️,thuyền máy
🚤,ca nô
⛵,thuyền buồm
🛶,xuồng
⚓,neo
⛽,xăng
🚦,đèn giao thông
📱,điện thoại
📶,tín hiệu
🔌,phích cắm
🛜,wifi
🎣,câu cá
🛠️,công cụ
📚,sách
