emoji,hungarian
❌,nem
✅,igen
☀️,nap
🌙,hold
⭐,csillag
💧,víz
🌳,fa
🌸,virág
🍚,rizs
🍞,kenyér
🥗,saláta
🍕,pizza
🍔,hamburger
🍟,sült krumpli
🍗,csirke
🥩,hús
🐟,hal
🍤,garnélarák
🥚,tojás
🧀,sajt
🥕,sárgarépa
🥔,burgonya
🌽,kukorica
🍅,paradicsom
🥒,uborka
🥬,saláta
🍇,szőlő
🍋,citrom
🍎,alma
🍌,banán
🍉,görögdinnye
🍓,eper
🍒,cseresznye
🥥,kókuszdió
🍍,ananász
🥭,mangó
🍆,padlizsán
🥑,avokádó
🌶️,chili
🫑,paprika
🥜,mogyoró
🍄,gomba
🧄,fokhagyma
🍯,méz
🍰,torta
🍪,süti
🍫,csokoládé
🍬,cukorka
🍭,nyalóka
🍩,fánk
🍦,fagylalt
🥤,ital
☕,kávé
🍵,tea
🧃,gyümölcslé
🍺,sör
🍷,bor
🏥,kórház
💊,tabletta
💉,injekció
🩹,sebtapasz
🩺,sztetoszkóp
🌡️,hőmérő
🚔,rendőrség
🚑,mentő
🚒,tűzoltó
🔥,tűz
🧯,tűzoltó készülék
💀,koponya
☠️,veszély
⚡,villám
🌊,hullám
🌧️,eső
❄️,hó
🌪️,tornádó
🏠,ház
🚪,ajtó
🪟,ablak
🛏️,ágy
🚿,zuhany
🚽,WC
🔑,kulcs
🔒,zár
🪜,létra
👀,szemek
🏧,ATM
💳,kártya
🔴,piros
🟠,narancs
🟡,sárga
🟢,zöld
🔵,kék
🟣,lila
⚫,fekete
⚪,fehér
🟤,barna
🐱,macska
🐶,kutya
🐰,nyúl
🦊,róka
🐻,medve
🐯,tigris
🦁,oroszlán
🐮,tehén
🐷,disznó
🐸,béka
🐵,majom
🐔,csirke
🐧,pingvin
🐤,csibe
🦆,kacsa
🦅,sas
🐺,farkas
🐗,vaddisznó
🐴,ló
🐝,méh
🐛,hernyó
🦋,pillangó
🐌,csiga
🐞,katicabogár
🐜,hangya
🦗,tücsök
🕷️,pók
🦂,skorpió
🐢,teknős
🐍,kígyó
🦎,gyík
🐙,polip
🦑,tintahal
🦐,garnélarák
🦞,homár
🦀,rák
🐠,hal
🐳,bálna
🐬,delfin
🦈,cápa
🐊,krokodil
🦓,zebra
🐘,elefánt
🐪,teve
🦘,kenguru
🐑,juh
🦢,hattyú
🦝,mosómedve
🦨,bűzösborzfélék
🦔,sündisznó
🚌,busz
🚗,autó
🏎️,versenyautó
🚠,kötélpálya
🚅,vonat
🚂,gőzmozdony
✈️,repülőgép
🛫,felszállás
🛬,leszállás
🪂,ejtőernyő
🚁,helikopter
🛰️,műhold
🚀,rakéta
🚢,hajó
🛥️,motorcsónak
🚤,gyorsnaszád
⛵,vitorlás
🛶,kenu
⚓,horgony
⛽,benzin
🚦,közlekedési lámpa
📱,telefon
📶,jel
🔌,dugó
🛜,wifi
🎣,horgászat
🛠️,szerszámok
📚,könyvek
