emoji,cantonese
❌,唔係
✅,係
☀️,太陽
🌙,月亮
⭐,星星
💧,水
🌳,樹
🌸,花
🍚,飯
🍞,麵包
🥗,沙律
🍕,薄餅
🍔,漢堡包
🍟,薯條
🍗,雞
🥩,肉
🐟,魚
🍤,蝦
🥚,蛋
🧀,芝士
🥕,紅蘿蔔
🥔,薯仔
🌽,粟米
🍅,番茄
🥒,青瓜
🥬,菜
🍇,提子
🍋,檸檬
🍎,蘋果
🍌,香蕉
🍉,西瓜
🍓,士多啤梨
🍒,車厘子
🥥,椰子
🍍,菠蘿
🥭,芒果
🍆,茄子
🥑,牛油果
🌶️,辣椒
🫑,燈籠椒
🥜,花生
🍄,蘑菇
🧄,蒜頭
🍯,蜜糖
🍰,蛋糕
🍪,曲奇
🍫,朱古力
🍬,糖
🍭,棒棒糖
🍩,冬甩
🍦,雪糕
🥤,飲品
☕,咖啡
🍵,茶
🧃,果汁
🍺,啤酒
🍷,紅酒
🏥,醫院
💊,藥
💉,針
🩹,膠布
🩺,聽診器
🌡️,溫度計
🚔,警車
🚑,救護車
🚒,消防車
🔥,火
🧯,滅火筒
💀,骷髏頭
☠️,毒
⚡,閃電
🌊,波浪
🌧️,雨
❄️,雪
🌪️,龍捲風
🏠,屋
🚪,門
🪟,窗
🛏️,床
🚿,花灑
🚽,廁所
🔑,鎖匙
🔒,鎖
🪜,梯
👀,眼
🏧,提款機
💳,卡
🔴,紅色
🟠,橙色
🟡,黃色
🟢,綠色
🔵,藍色
🟣,紫色
⚫,黑色
⚪,白色
🟤,啡色
🐱,貓
🐶,狗
🐰,兔仔
🦊,狐狸
🐻,熊
🐯,老虎
🦁,獅子
🐮,牛
🐷,豬
🐸,青蛙
🐵,猴子
🐔,雞
🐧,企鵝
🐤,雞仔
🦆,鴨
🦅,鷹
🐺,狼
🐗,野豬
🐴,馬
🐝,蜜蜂
🐛,毛蟲
🦋,蝴蝶
🐌,蝸牛
🐞,瓢蟲
🐜,螞蟻
🦗,蟋蟀
🕷️,蜘蛛
🦂,蠍子
🐢,龜
🐍,蛇
🦎,蜥蜴
🐙,八爪魚
🦑,魷魚
🦐,蝦
🦞,龍蝦
🦀,蟹
🐠,魚
🐳,鯨魚
🐬,海豚
🦈,鯊魚
🐊,鱷魚
🦓,斑馬
🐘,大象
🐪,駱駝
🦘,袋鼠
🐑,羊
🦢,天鵝
🦝,浣熊
🦨,臭鼬
🦔,刺蝟
🚌,巴士
🚗,車
🏎️,賽車
🚠,纜車
🚅,火車
🚂,火車頭
✈️,飛機
🛫,起飛
🛬,降落
🪂,降落傘
🚁,直升機
🛰️,衛星
🚀,火箭
🚢,船
🛥️,快艇
🚤,快艇
⛵,帆船
🛶,獨木舟
⚓,錨
⛽,油
🚦,交通燈
📱,電話
📶,信號
🔌,插頭
🛜,無線網絡
🎣,釣魚
🛠️,工具
📚,書
